ID,Label,Reign,Year of Reign,Start Date,End Date
Ann/1,1 Ann.,Ann,1,1702-03-08,1703-03-07
Ann/10,10 Ann.,Ann,10,1711-03-08,1712-03-07
Ann/11,11 Ann.,Ann,11,1712-03-08,1713-03-07
Ann/12,12 Ann.,Ann,12,1713-03-08,1714-03-07
Ann/13,13 Ann.,Ann,13,1714-03-08,1714-08-01
Ann/2,2 Ann.,Ann,2,1703-03-08,1704-03-07
Ann/3,3 Ann.,Ann,3,1704-03-08,1705-03-07
Ann/4,4 Ann.,Ann,4,1705-03-08,1706-03-07
Ann/5,5 Ann.,Ann,5,1706-03-08,1707-03-07
Ann/6,6 Ann.,Ann,6,1707-03-08,1708-03-07
Ann/7,7 Ann.,Ann,7,1708-03-08,1709-03-07
Ann/8,8 Ann.,Ann,8,1709-03-08,1710-03-07
Ann/9,9 Ann.,Ann,9,1710-03-08,1711-03-07
Cha1/1,1 Cha. 1,Cha1,1,1625-03-27,1626-03-26
Cha1/10,10 Cha. 1,Cha1,10,1634-03-27,1635-03-26
Cha1/11,11 Cha. 1,Cha1,11,1635-03-27,1636-03-26
Cha1/12,12 Cha. 1,Cha1,12,1636-03-27,1637-03-26
Cha1/13,13 Cha. 1,Cha1,13,1637-03-27,1638-03-26
Cha1/14,14 Cha. 1,Cha1,14,1638-03-27,1639-03-26
Cha1/15,15 Cha. 1,Cha1,15,1639-03-27,1640-03-26
Cha1/16,16 Cha. 1,Cha1,16,1640-03-27,1641-03-26
Cha1/17,17 Cha. 1,Cha1,17,1641-03-27,1642-03-26
Cha1/18,18 Cha. 1,Cha1,18,1642-03-27,1643-03-26
Cha1/19,19 Cha. 1,Cha1,19,1643-03-27,1644-03-26
Cha1/2,2 Cha. 1,Cha1,2,1626-03-27,1627-03-26
Cha1/20,20 Cha. 1,Cha1,20,1644-03-27,1645-03-26
Cha1/21,21 Cha. 1,Cha1,21,1645-03-27,1646-03-26
Cha1/22,22 Cha. 1,Cha1,22,1646-03-27,1647-03-26
Cha1/23,23 Cha. 1,Cha1,23,1647-03-27,1648-03-26
Cha1/24,24 Cha. 1,Cha1,24,1648-03-27,1649-01-30
Cha1/3,3 Cha. 1,Cha1,3,1627-03-27,1628-03-26
Cha1/4,4 Cha. 1,Cha1,4,1628-03-27,1629-03-26
Cha1/5,5 Cha. 1,Cha1,5,1629-03-27,1630-03-26
Cha1/6,6 Cha. 1,Cha1,6,1630-03-27,1631-03-26
Cha1/7,7 Cha. 1,Cha1,7,1631-03-27,1632-03-26
Cha1/8,8 Cha. 1,Cha1,8,1632-03-27,1633-03-26
Cha1/9,9 Cha. 1,Cha1,9,1633-03-27,1634-03-26
Cha2/12,12 Cha. 2,Cha2,12,1660-01-30,1661-01-29
Cha2/13,13 Cha. 2,Cha2,13,1661-01-30,1662-01-29
Cha2/14,14 Cha. 2,Cha2,14,1662-01-30,1663-01-29
Cha2/15,15 Cha. 2,Cha2,15,1663-01-30,1664-01-29
Cha2/16,16 Cha. 2,Cha2,16,1664-01-30,1665-01-29
Cha2/17,17 Cha. 2,Cha2,17,1665-01-30,1666-01-29
Cha2/18,18 Cha. 2,Cha2,18,1666-01-30,1667-01-29
Cha2/19,19 Cha. 2,Cha2,19,1667-01-30,1668-01-29
Cha2/20,20 Cha. 2,Cha2,20,1668-01-30,1669-01-29
Cha2/21,21 Cha. 2,Cha2,21,1669-01-30,1670-01-29
Cha2/22,22 Cha. 2,Cha2,22,1670-01-30,1671-01-29
Cha2/23,23 Cha. 2,Cha2,23,1671-01-30,1672-01-29
Cha2/24,24 Cha. 2,Cha2,24,1672-01-30,1673-01-29
Cha2/25,25 Cha. 2,Cha2,25,1673-01-30,1674-01-29
Cha2/26,26 Cha. 2,Cha2,26,1674-01-30,1675-01-29
Cha2/27,27 Cha. 2,Cha2,27,1675-01-30,1676-01-29
Cha2/28,28 Cha. 2,Cha2,28,1676-01-30,1677-01-29
Cha2/29,29 Cha. 2,Cha2,29,1677-01-30,1678-01-29
Cha2/30,30 Cha. 2,Cha2,30,1678-01-30,1679-01-29
Cha2/31,31 Cha. 2,Cha2,31,1679-01-30,1680-01-29
Cha2/32,32 Cha. 2,Cha2,32,1680-01-30,1681-01-29
Cha2/33,33 Cha. 2,Cha2,33,1681-01-30,1682-01-29
Cha2/34,34 Cha. 2,Cha2,34,1682-01-30,1683-01-29
Cha2/35,35 Cha. 2,Cha2,35,1683-01-30,1684-01-29
Cha2/36,36 Cha. 2,Cha2,36,1684-01-30,1685-01-29
Cha2/37,37 Cha. 2,Cha2,37,1685-01-30,1685-02-06
Edw1/1,1 Edw. 1,Edw1,1,1272-11-20,1273-11-19
Edw1/10,10 Edw. 1,Edw1,10,1281-11-20,1282-11-19
Edw1/11,11 Edw. 1,Edw1,11,1282-11-20,1283-11-19
Edw1/12,12 Edw. 1,Edw1,12,1283-11-20,1284-11-19
Edw1/13,13 Edw. 1,Edw1,13,1284-11-20,1285-11-19
Edw1/14,14 Edw. 1,Edw1,14,1285-11-20,1286-11-19
Edw1/15,15 Edw. 1,Edw1,15,1286-11-20,1287-11-19
Edw1/16,16 Edw. 1,Edw1,16,1287-11-20,1288-11-19
Edw1/17,17 Edw. 1,Edw1,17,1288-11-20,1289-11-19
Edw1/18,18 Edw. 1,Edw1,18,1289-11-20,1290-11-19
Edw1/19,19 Edw. 1,Edw1,19,1290-11-20,1291-11-19
Edw1/2,2 Edw. 1,Edw1,2,1273-11-20,1274-11-19
Edw1/20,20 Edw. 1,Edw1,20,1291-11-20,1292-11-19
Edw1/21,21 Edw. 1,Edw1,21,1292-11-20,1293-11-19
Edw1/22,22 Edw. 1,Edw1,22,1293-11-20,1294-11-19
Edw1/23,23 Edw. 1,Edw1,23,1294-11-20,1295-11-19
Edw1/24,24 Edw. 1,Edw1,24,1295-11-20,1296-11-19
Edw1/25,25 Edw. 1,Edw1,25,1296-11-20,1297-11-19
Edw1/26,26 Edw. 1,Edw1,26,1297-11-20,1298-11-19
Edw1/27,27 Edw. 1,Edw1,27,1298-11-20,1299-11-19
Edw1/28,28 Edw. 1,Edw1,28,1299-11-20,1300-11-19
Edw1/29,29 Edw. 1,Edw1,29,1300-11-20,1301-11-19
Edw1/3,3 Edw. 1,Edw1,3,1274-11-20,1275-11-19
Edw1/30,30 Edw. 1,Edw1,30,1301-11-20,1302-11-19
Edw1/31,31 Edw. 1,Edw1,31,1302-11-20,1303-11-19
Edw1/32,32 Edw. 1,Edw1,32,1303-11-20,1304-11-19
Edw1/33,33 Edw. 1,Edw1,33,1304-11-20,1305-11-19
Edw1/34,34 Edw. 1,Edw1,34,1305-11-20,1306-11-19
Edw1/35,35 Edw. 1,Edw1,35,1306-11-20,1307-07-07
Edw1/4,4 Edw. 1,Edw1,4,1275-11-20,1276-11-19
Edw1/5,5 Edw. 1,Edw1,5,1276-11-20,1277-11-19
Edw1/6,6 Edw. 1,Edw1,6,1277-11-20,1278-11-19
Edw1/7,7 Edw. 1,Edw1,7,1278-11-20,1279-11-19
Edw1/8,8 Edw. 1,Edw1,8,1279-11-20,1280-11-19
Edw1/9,9 Edw. 1,Edw1,9,1280-11-20,1281-11-19
Edw2/1,1 Edw. 2,Edw2,1,1307-07-08,1308-07-07
Edw2/10,10 Edw. 2,Edw2,10,1316-07-08,1317-07-07
Edw2/11,11 Edw. 2,Edw2,11,1317-07-08,1318-07-07
Edw2/12,12 Edw. 2,Edw2,12,1318-07-08,1319-07-07
Edw2/13,13 Edw. 2,Edw2,13,1319-07-08,1320-07-07
Edw2/14,14 Edw. 2,Edw2,14,1320-07-08,1321-07-07
Edw2/15,15 Edw. 2,Edw2,15,1321-07-08,1322-07-07
Edw2/16,16 Edw. 2,Edw2,16,1322-07-08,1323-07-07
Edw2/17,17 Edw. 2,Edw2,17,1323-07-08,1324-07-07
Edw2/18,18 Edw. 2,Edw2,18,1324-07-08,1325-07-07
Edw2/19,19 Edw. 2,Edw2,19,1325-07-08,1326-07-07
Edw2/2,2 Edw. 2,Edw2,2,1308-07-08,1309-07-07
Edw2/20,20 Edw. 2,Edw2,20,1326-07-08,1327-01-20
Edw2/3,3 Edw. 2,Edw2,3,1309-07-08,1310-07-07
Edw2/4,4 Edw. 2,Edw2,4,1310-07-08,1311-07-07
Edw2/5,5 Edw. 2,Edw2,5,1311-07-08,1312-07-07
Edw2/6,6 Edw. 2,Edw2,6,1312-07-08,1313-07-07
Edw2/7,7 Edw. 2,Edw2,7,1313-07-08,1314-07-07
Edw2/8,8 Edw. 2,Edw2,8,1314-07-08,1315-07-07
Edw2/9,9 Edw. 2,Edw2,9,1315-07-08,1316-07-07
Edw3/1,1 Edw. 3,Edw3,1,1327-01-25,1328-01-24
Edw3/10,10 Edw. 3,Edw3,10,1336-01-25,1337-01-24
Edw3/11,11 Edw. 3,Edw3,11,1337-01-25,1338-01-24
Edw3/12,12 Edw. 3,Edw3,12,1338-01-25,1339-01-24
Edw3/13,13 Edw. 3,Edw3,13,1339-01-25,1340-01-24
Edw3/14,14 Edw. 3,Edw3,14,1340-01-25,1341-01-24
Edw3/15,15 Edw. 3,Edw3,15,1341-01-25,1342-01-24
Edw3/16,16 Edw. 3,Edw3,16,1342-01-25,1343-01-24
Edw3/17,17 Edw. 3,Edw3,17,1343-01-25,1344-01-24
Edw3/18,18 Edw. 3,Edw3,18,1344-01-25,1345-01-24
Edw3/19,19 Edw. 3,Edw3,19,1345-01-25,1346-01-24
Edw3/2,2 Edw. 3,Edw3,2,1328-01-25,1329-01-24
Edw3/20,20 Edw. 3,Edw3,20,1346-01-25,1347-01-24
Edw3/21,21 Edw. 3,Edw3,21,1347-01-25,1348-01-24
Edw3/22,22 Edw. 3,Edw3,22,1348-01-25,1349-01-24
Edw3/23,23 Edw. 3,Edw3,23,1349-01-25,1350-01-24
Edw3/24,24 Edw. 3,Edw3,24,1350-01-25,1351-01-24
Edw3/25,25 Edw. 3,Edw3,25,1351-01-25,1352-01-24
Edw3/26,26 Edw. 3,Edw3,26,1352-01-25,1353-01-24
Edw3/27,27 Edw. 3,Edw3,27,1353-01-25,1354-01-24
Edw3/28,28 Edw. 3,Edw3,28,1354-01-25,1355-01-24
Edw3/29,29 Edw. 3,Edw3,29,1355-01-25,1356-01-24
Edw3/3,3 Edw. 3,Edw3,3,1329-01-25,1330-01-24
Edw3/30,30 Edw. 3,Edw3,30,1356-01-25,1357-01-24
Edw3/31,31 Edw. 3,Edw3,31,1357-01-25,1358-01-24
Edw3/32,32 Edw. 3,Edw3,32,1358-01-25,1359-01-24
Edw3/33,33 Edw. 3,Edw3,33,1359-01-25,1360-01-24
Edw3/34,34 Edw. 3,Edw3,34,1360-01-25,1361-01-24
Edw3/35,35 Edw. 3,Edw3,35,1361-01-25,1362-01-24
Edw3/36,36 Edw. 3,Edw3,36,1362-01-25,1363-01-24
Edw3/37,37 Edw. 3,Edw3,37,1363-01-25,1364-01-24
Edw3/38,38 Edw. 3,Edw3,38,1364-01-25,1365-01-24
Edw3/39,39 Edw. 3,Edw3,39,1365-01-25,1366-01-24
Edw3/4,4 Edw. 3,Edw3,4,1330-01-25,1331-01-24
Edw3/40,40 Edw. 3,Edw3,40,1366-01-25,1367-01-24
Edw3/41,41 Edw. 3,Edw3,41,1367-01-25,1368-01-24
Edw3/42,42 Edw. 3,Edw3,42,1368-01-25,1369-01-24
Edw3/43,43 Edw. 3,Edw3,43,1369-01-25,1370-01-24
Edw3/44,44 Edw. 3,Edw3,44,1370-01-25,1371-01-24
Edw3/45,45 Edw. 3,Edw3,45,1371-01-25,1372-01-24
Edw3/46,46 Edw. 3,Edw3,46,1372-01-25,1373-01-24
Edw3/47,47 Edw. 3,Edw3,47,1373-01-25,1374-01-24
Edw3/48,48 Edw. 3,Edw3,48,1374-01-25,1375-01-24
Edw3/49,49 Edw. 3,Edw3,49,1375-01-25,1376-01-24
Edw3/5,5 Edw. 3,Edw3,5,1331-01-25,1332-01-24
Edw3/50,50 Edw. 3,Edw3,50,1376-01-25,1377-01-24
Edw3/51,51 Edw. 3,Edw3,51,1377-01-25,1377-06-21
Edw3/6,6 Edw. 3,Edw3,6,1332-01-25,1333-01-24
Edw3/7,7 Edw. 3,Edw3,7,1333-01-25,1334-01-24
Edw3/8,8 Edw. 3,Edw3,8,1334-01-25,1335-01-24
Edw3/9,9 Edw. 3,Edw3,9,1335-01-25,1336-01-24
Edw4/1,1 Edw. 4,Edw4,1,1461-03-04,1462-03-03
Edw4/10,10 Edw. 4,Edw4,10,1470-03-04,1471-03-03
Edw4/11,11 Edw. 4,Edw4,11,1471-03-04,1472-03-03
Edw4/12,12 Edw. 4,Edw4,12,1472-03-04,1473-03-03
Edw4/13,13 Edw. 4,Edw4,13,1473-03-04,1474-03-03
Edw4/14,14 Edw. 4,Edw4,14,1474-03-04,1475-03-03
Edw4/15,15 Edw. 4,Edw4,15,1475-03-04,1476-03-03
Edw4/16,16 Edw. 4,Edw4,16,1476-03-04,1477-03-03
Edw4/17,17 Edw. 4,Edw4,17,1477-03-04,1478-03-03
Edw4/18,18 Edw. 4,Edw4,18,1478-03-04,1479-03-03
Edw4/19,19 Edw. 4,Edw4,19,1479-03-04,1480-03-03
Edw4/2,2 Edw. 4,Edw4,2,1462-03-04,1463-03-03
Edw4/20,20 Edw. 4,Edw4,20,1480-03-04,1481-03-03
Edw4/21,21 Edw. 4,Edw4,21,1481-03-04,1482-03-03
Edw4/22,22 Edw. 4,Edw4,22,1482-03-04,1483-03-03
Edw4/23,23 Edw. 4,Edw4,23,1483-03-04,1483-04-09
Edw4/3,3 Edw. 4,Edw4,3,1463-03-04,1464-03-03
Edw4/4,4 Edw. 4,Edw4,4,1464-03-04,1465-03-03
Edw4/5,5 Edw. 4,Edw4,5,1465-03-04,1466-03-03
Edw4/6,6 Edw. 4,Edw4,6,1466-03-04,1467-03-03
Edw4/7,7 Edw. 4,Edw4,7,1467-03-04,1468-03-03
Edw4/8,8 Edw. 4,Edw4,8,1468-03-04,1469-03-03
Edw4/9,9 Edw. 4,Edw4,9,1469-03-04,1470-03-03
Edw5/1,1 Edw. 5,Edw5,1,1483-04-09,1483-06-25
Edw6/1,1 Edw. 6,Edw6,1,1547-01-28,1548-01-27
Edw6/2,2 Edw. 6,Edw6,2,1548-01-28,1549-01-27
Edw6/3,3 Edw. 6,Edw6,3,1549-01-28,1550-01-27
Edw6/4,4 Edw. 6,Edw6,4,1550-01-28,1551-01-27
Edw6/5,5 Edw. 6,Edw6,5,1551-01-28,1552-01-27
Edw6/6,6 Edw. 6,Edw6,6,1552-01-28,1553-01-27
Edw6/7,7 Edw. 6,Edw6,7,1553-01-28,1553-07-06
Edw7/1,1 Edw. 7,Edw7,1,1901-01-22,1902-01-21
Edw7/10,10 Edw. 7,Edw7,10,1910-01-22,1910-05-06
Edw7/2,2 Edw. 7,Edw7,2,1902-01-22,1903-01-21
Edw7/3,3 Edw. 7,Edw7,3,1903-01-22,1904-01-21
Edw7/4,4 Edw. 7,Edw7,4,1904-01-22,1905-01-21
Edw7/5,5 Edw. 7,Edw7,5,1905-01-22,1906-01-21
Edw7/6,6 Edw. 7,Edw7,6,1906-01-22,1907-01-21
Edw7/7,7 Edw. 7,Edw7,7,1907-01-22,1908-01-21
Edw7/8,8 Edw. 7,Edw7,8,1908-01-22,1909-01-21
Edw7/9,9 Edw. 7,Edw7,9,1909-01-22,1910-01-21
Edw8/1,1 Edw. 8,Edw8,1,1936-01-20,1936-12-11
Eliz1/1,1 Eliz. 1,Eliz1,1,1558-11-17,1559-11-16
Eliz1/10,10 Eliz. 1,Eliz1,10,1567-11-17,1568-11-16
Eliz1/11,11 Eliz. 1,Eliz1,11,1568-11-17,1569-11-16
Eliz1/12,12 Eliz. 1,Eliz1,12,1569-11-17,1570-11-16
Eliz1/13,13 Eliz. 1,Eliz1,13,1570-11-17,1571-11-16
Eliz1/14,14 Eliz. 1,Eliz1,14,1571-11-17,1572-11-16
Eliz1/15,15 Eliz. 1,Eliz1,15,1572-11-17,1573-11-16
Eliz1/16,16 Eliz. 1,Eliz1,16,1573-11-17,1574-11-16
Eliz1/17,17 Eliz. 1,Eliz1,17,1574-11-17,1575-11-16
Eliz1/18,18 Eliz. 1,Eliz1,18,1575-11-17,1576-11-16
Eliz1/19,19 Eliz. 1,Eliz1,19,1576-11-17,1577-11-16
Eliz1/2,2 Eliz. 1,Eliz1,2,1559-11-17,1560-11-16
Eliz1/20,20 Eliz. 1,Eliz1,20,1577-11-17,1578-11-16
Eliz1/21,21 Eliz. 1,Eliz1,21,1578-11-17,1579-11-16
Eliz1/22,22 Eliz. 1,Eliz1,22,1579-11-17,1580-11-16
Eliz1/23,23 Eliz. 1,Eliz1,23,1580-11-17,1581-11-16
Eliz1/24,24 Eliz. 1,Eliz1,24,1581-11-17,1582-11-16
Eliz1/25,25 Eliz. 1,Eliz1,25,1582-11-17,1583-11-16
Eliz1/26,26 Eliz. 1,Eliz1,26,1583-11-17,1584-11-16
Eliz1/27,27 Eliz. 1,Eliz1,27,1584-11-17,1585-11-16
Eliz1/28,28 Eliz. 1,Eliz1,28,1585-11-17,1586-11-16
Eliz1/29,29 Eliz. 1,Eliz1,29,1586-11-17,1587-11-16
Eliz1/3,3 Eliz. 1,Eliz1,3,1560-11-17,1561-11-16
Eliz1/30,30 Eliz. 1,Eliz1,30,1587-11-17,1588-11-16
Eliz1/31,31 Eliz. 1,Eliz1,31,1588-11-17,1589-11-16
Eliz1/32,32 Eliz. 1,Eliz1,32,1589-11-17,1590-11-16
Eliz1/33,33 Eliz. 1,Eliz1,33,1590-11-17,1591-11-16
Eliz1/34,34 Eliz. 1,Eliz1,34,1591-11-17,1592-11-16
Eliz1/35,35 Eliz. 1,Eliz1,35,1592-11-17,1593-11-16
Eliz1/36,36 Eliz. 1,Eliz1,36,1593-11-17,1594-11-16
Eliz1/37,37 Eliz. 1,Eliz1,37,1594-11-17,1595-11-16
Eliz1/38,38 Eliz. 1,Eliz1,38,1595-11-17,1596-11-16
Eliz1/39,39 Eliz. 1,Eliz1,39,1596-11-17,1597-11-16
Eliz1/4,4 Eliz. 1,Eliz1,4,1561-11-17,1562-11-16
Eliz1/40,40 Eliz. 1,Eliz1,40,1597-11-17,1598-11-16
Eliz1/41,41 Eliz. 1,Eliz1,41,1598-11-17,1599-11-16
Eliz1/42,42 Eliz. 1,Eliz1,42,1599-11-17,1600-11-16
Eliz1/43,43 Eliz. 1,Eliz1,43,1600-11-17,1601-11-16
Eliz1/44,44 Eliz. 1,Eliz1,44,1601-11-17,1602-11-16
